rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
178,frame_0189.jpg,75.6,0.3702,0.4835,0.375,0.08,3,3,FALSE,FALSE
179,frame_0088.jpg,35.2,0.3694,0.4128,0.25,0.44,4,2,FALSE,FALSE
180,frame_0193.jpg,77.2,0.3679,0.4148,0.375,0.24,6,3,FALSE,FALSE
181,frame_0117.jpg,46.8,0.3676,0.4252,0.25,0.4,4,2,FALSE,FALSE
182,frame_0109.jpg,43.6,0.3665,0.476,0.375,0.08,5,3,FALSE,FALSE
183,frame_0012.jpg,4.8,0.3647,0.2543,0.125,1,3,1,FALSE,FALSE
184,frame_0194.jpg,77.6,0.3633,0.3896,0.375,0.28,5,3,FALSE,FALSE
185,frame_0208.jpg,83.2,0.3619,0.4199,0,0.76,3,0,FALSE,FALSE
186,frame_0232.jpg,92.8,0.3606,0.4912,0.25,0.2,4,2,FALSE,FALSE
187,frame_0218.jpg,87.2,0.3594,0.4248,0.25,0.36,3,2,FALSE,FALSE
188,frame_0080.jpg,32,0.3588,0.3386,0.125,0.76,4,1,FALSE,FALSE
189,frame_0372.jpg,148.8,0.3574,0.5168,0.25,0.12,7,2,FALSE,FALSE
190,frame_0090.jpg,36,0.3566,0.4192,0.25,0.36,5,2,FALSE,FALSE
191,frame_0108.jpg,43.2,0.3561,0.4712,0.375,0.04,6,3,FALSE,FALSE
192,frame_0118.jpg,47.2,0.3559,0.5358,0,0.44,2,0,FALSE,FALSE
193,frame_0173.jpg,69.2,0.3498,0.4806,0.125,0.36,6,1,FALSE,FALSE
194,frame_0174.jpg,69.6,0.3494,0.4208,0.25,0.32,5,2,FALSE,FALSE
195,frame_0086.jpg,34.4,0.349,0.34,0.25,0.52,5,2,FALSE,FALSE
196,frame_0230.jpg,92,0.3487,0.4994,0.25,0.12,6,2,FALSE,FALSE
197,frame_0190.jpg,76,0.3462,0.4943,0.25,0.12,3,2,FALSE,FALSE
198,frame_0222.jpg,88.8,0.3442,0.3834,0.375,0.2,5,3,FALSE,FALSE
199,frame_0104.jpg,41.6,0.3441,0.4901,0.25,0.12,4,2,FALSE,FALSE
200,frame_0325.jpg,130,0.341,0.366,0.5,0.04,6,4,FALSE,FALSE
201,frame_0172.jpg,68.8,0.3396,0.3692,0.25,0.4,5,2,FALSE,FALSE
202,frame_0093.jpg,37.2,0.3388,0.3566,0.375,0.24,5,3,FALSE,FALSE
203,frame_0202.jpg,80.8,0.3377,0.2855,0.25,0.6,5,2,FALSE,FALSE
204,frame_0268.jpg,107.2,0.3375,0.418,0.375,0.08,6,3,FALSE,FALSE
205,frame_0271.jpg,108.4,0.3372,0.5085,0.25,0.04,3,2,FALSE,FALSE
206,frame_0181.jpg,72.4,0.3357,0.5053,0.25,0.04,6,2,FALSE,FALSE
207,frame_0226.jpg,90.4,0.325,0.4839,0.25,0.04,4,2,FALSE,FALSE
208,frame_0213.jpg,85.2,0.324,0.274,0.25,0.56,4,2,FALSE,FALSE
209,frame_0219.jpg,87.6,0.3231,0.3682,0.25,0.32,3,2,FALSE,FALSE
210,frame_0267.jpg,106.8,0.3217,0.3704,0.375,0.12,5,3,FALSE,FALSE
211,frame_0179.jpg,71.6,0.3203,0.3676,0.375,0.12,6,3,FALSE,FALSE
212,frame_0282.jpg,112.8,0.3163,0.3655,0.125,0.48,4,1,FALSE,FALSE
213,frame_0022.jpg,8.8,0.3148,0.2296,0,1,2,0,FALSE,FALSE
214,frame_0211.jpg,84.4,0.3137,0.2964,0.125,0.64,2,1,FALSE,FALSE
215,frame_0116.jpg,46.4,0.312,0.4051,0.125,0.36,7,1,FALSE,FALSE
